age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,Class
34,0,0,0,0,-1.0,1
31,0,0,0,6,-1.0,1
27,0,0,0,8,-1.0,1
27,0,0,0,8,-1.0,1
27,0,0,0,8,-1.0,1
27,0,0,0,8,-1.0,1
33,0,0,0,0,0.0,1
33,0,0,0,0,0.0,1
25,0,0,0,9,-1.0,1
35,1,0,4,13,-1.0,1
45,0,0,0,6,-1.0,1
45,0,0,0,6,-1.0,1
26,0,0,0,1,-1.0,1
27,0,0,0,1,-43.0,1
30,0,0,0,8,-1.0,1
30,0,0,0,8,-1.0,1
30,0,0,0,8,-1.0,1
25,1,6,1,14,-1.0,1
25,1,6,1,14,-1.0,1
25,1,6,1,14,-1.0,1
25,1,6,1,14,-1.0,1
25,1,6,1,14,-1.0,1
20,0,0,0,0,-1.0,1
25,0,0,0,9,-1.0,1
25,0,0,0,9,-1.0,1
19,0,0,0,1,-10.0,1
39,0,0,0,0,-1.0,1
31,0,0,0,13,-1.0,1
30,0,0,0,4,-35.0,1
32,0,0,0,11,-2.0,1
32,0,0,0,11,-2.0,1
33,0,0,0,8,-1.0,1
32,0,0,0,4,-7.0,1
28,0,0,0,6,-1.0,1
66,0,0,0,3,-10.0,1
37,0,0,0,2,0.0,1
23,0,0,0,0,-1.0,1
43,0,0,0,11,49.0,1
51,0,0,0,0,-1.0,1
37,0,0,0,0,-1.0,1
30,0,0,2,11,-1.0,1
30,0,0,2,11,-1.0,1
24,0,0,0,1,-32.0,1
20,0,0,0,1,-1.0,1
27,0,0,0,0,-1.0,1
26,0,0,0,1,-1.0,1
33,0,0,0,1,-93.0,1
24,0,1,0,9,-1.0,1
24,0,1,0,2,-1.0,1
24,0,1,0,2,-1.0,1
24,0,1,0,2,-1.0,1
24,0,1,0,2,-1.0,1
28,0,0,0,2,0.0,1
32,0,1,0,12,-1.0,1
32,0,1,0,12,-1.0,1
34,0,0,0,2,47.0,1
22,0,0,0,4,-1.0,1
48,1,0,0,23,-1.0,1
27,0,0,0,9,-1.0,1
27,0,0,0,9,-1.0,1
27,0,0,0,9,-1.0,1
29,0,0,0,0,0.0,1
25,0,0,0,2,-1.0,1
24,0,0,0,1,-1.0,1
20,0,0,1,0,-1.0,1
27,0,0,0,13,-1.0,1
28,0,0,0,1,0.0,1
26,1,1,0,10,-1.0,1
26,1,1,0,10,-1.0,1
23,1,2,2,6,-1.0,1
23,1,2,2,6,-1.0,1
20,0,0,0,1,0.0,1
20,0,0,0,1,0.0,1
20,0,0,0,1,0.0,1
20,0,0,0,1,0.0,1
20,0,0,0,1,0.0,1
20,0,0,0,1,0.0,1
24,0,0,1,6,0.0,1
21,0,0,4,2,-1.0,1
29,0,0,0,0,0.0,1
29,0,0,0,4,-1.0,1
29,0,0,0,4,-1.0,1
29,0,0,0,4,-53.0,1
55,0,0,0,0,61.0,1
32,0,0,0,1,-7.0,1
24,0,0,1,9,-23.0,1
24,0,0,1,9,-23.0,1
24,0,0,1,9,-23.0,1
24,0,0,1,9,-23.0,1
21,0,2,0,3,0.0,1
21,0,2,0,3,0.0,1
22,0,1,0,3,-11.0,1
28,8,0,1,16,-1.0,1
28,8,0,1,16,-1.0,1
35,0,0,0,6,-1.0,1
30,0,0,1,5,-1.0,1
30,0,0,1,5,-1.0,1
25,0,0,0,0,-1.0,1
27,0,0,0,3,-1.0,1
22,0,0,0,11,0.0,1
22,0,0,0,11,0.0,1
22,0,0,0,11,0.0,1
22,0,0,0,11,0.0,1
22,0,0,0,11,0.0,1
22,0,0,0,11,0.0,1
22,0,0,0,11,0.0,1
27,0,0,0,6,-1.0,1
27,0,0,0,6,-1.0,1
25,0,0,0,4,-1.0,1
25,0,0,0,4,-1.0,1
58,0,0,0,4,-14.0,1
22,0,0,0,2,-40.0,1
27,0,0,0,13,-1.0,1
38,0,0,0,1,-1.0,1
35,0,0,1,1,-1.0,1
65,0,0,0,2,-18.0,1
30,0,0,0,4,-1.0,1
36,0,0,0,0,-1.0,1
23,0,0,1,2,0.0,1
23,0,0,1,2,0.0,1
21,0,0,1,0,-1.0,1
27,0,1,0,10,0.0,1
27,0,1,0,10,0.0,1
27,0,1,0,10,0.0,1
26,0,0,0,1,0.0,1
26,0,0,0,1,0.0,1
26,0,0,0,1,0.0,1
25,0,0,0,0,-1.0,1
23,0,0,1,6,-1.0,1
23,0,0,1,6,-1.0,1
23,0,0,1,6,-1.0,1
23,0,0,1,6,-1.0,1
23,0,0,1,6,-1.0,1
23,0,0,1,6,-1.0,1
