Sex,Age,NativeCountry,WorkClass,EducationNumber,MaritalStatus,Occupation,Relationship,CapitalGain,CapitalLoss,HoursPerWeek,Class
0,18,0,6,10,5,1,3,0,0,10,0
0,31,0,3,13,3,1,0,0,0,40,1
0,26,0,3,9,1,3,1,0,0,40,0
0,26,0,3,13,5,8,3,0,0,40,0
0,36,1,3,9,1,6,1,0,0,40,0
0,58,0,5,10,3,12,0,0,0,60,0
0,30,0,5,9,3,4,0,0,0,75,0
1,71,0,3,10,7,8,1,0,0,28,0
0,61,1,5,6,7,3,2,0,0,18,0
0,65,0,3,9,3,13,0,0,0,40,0
1,55,0,3,11,3,10,5,0,0,20,0
0,32,0,6,12,3,8,0,0,0,35,0
1,22,0,3,10,5,8,3,0,0,15,0
1,33,0,3,12,1,12,1,0,0,45,0
1,39,0,5,10,1,8,1,3325,0,40,0
1,29,0,3,10,5,8,4,0,0,40,0
0,50,0,3,7,3,4,0,0,0,50,1
1,34,0,3,9,1,1,4,0,0,40,0
0,28,0,3,13,3,10,0,0,0,43,0
0,32,0,3,9,5,14,3,0,0,45,0
0,39,0,3,9,3,4,0,0,0,60,1
1,40,0,4,13,5,10,1,0,0,45,0
1,34,0,1,10,2,1,5,0,0,40,1
0,52,0,3,9,1,14,1,0,0,45,0
1,25,0,3,13,5,4,1,0,0,60,0
1,47,1,3,14,6,7,4,0,0,42,0
1,45,0,3,11,3,4,5,0,0,40,1
0,45,0,3,10,3,10,0,0,0,50,1
1,52,0,3,10,1,1,1,0,0,60,0
0,28,1,3,10,5,6,1,0,0,47,0
0,43,0,3,11,3,3,0,0,0,50,0
0,58,0,5,9,3,12,0,0,0,50,0
1,45,1,3,14,7,7,2,0,0,40,0
1,22,0,3,9,5,7,3,0,0,40,0
0,42,0,3,9,3,14,0,7298,0,40,1
1,23,0,3,10,5,1,3,0,0,25,0
0,30,0,3,10,5,3,1,0,0,44,0
1,45,0,2,14,1,10,4,0,0,42,0
0,25,0,6,10,3,11,0,0,0,40,0
0,44,0,3,13,3,4,0,0,1902,50,1
0,50,0,3,13,3,10,0,15024,0,40,1
0,33,0,3,13,5,6,1,0,0,30,0
0,24,0,3,10,3,1,0,0,0,15,0
0,57,0,5,13,3,4,0,4386,0,13,1
1,63,0,3,9,5,4,3,0,0,40,0
0,53,0,3,10,3,12,0,0,0,55,0
0,65,0,4,9,3,4,0,0,0,40,0
0,47,0,1,13,5,1,4,0,0,40,1
0,45,0,4,13,3,5,0,4386,0,35,1
0,17,0,3,8,5,8,3,0,0,35,0
0,29,0,3,10,3,3,0,0,1485,40,1
1,56,0,6,6,7,8,1,0,0,37,0
1,48,0,3,9,7,1,4,0,0,40,0
1,19,0,3,10,5,8,3,0,0,27,0
0,35,0,2,13,3,3,0,0,0,40,0
0,18,0,3,7,5,1,4,0,0,40,0
0,56,0,3,7,3,7,0,7298,0,40,1
0,50,1,3,14,3,12,0,0,0,40,0
1,40,0,2,14,5,10,1,0,0,40,0
1,28,0,3,9,5,1,1,0,0,40,0
0,30,0,3,14,3,8,0,0,0,15,1
0,18,0,3,7,5,8,3,0,0,15,0
1,41,0,3,12,5,1,1,0,0,50,0
0,63,0,4,13,3,4,0,0,0,60,0
0,27,0,5,13,5,12,1,0,0,40,0
1,32,0,3,10,1,4,1,0,0,45,0
0,50,0,2,9,3,1,0,0,0,40,0
0,54,0,3,5,3,4,0,0,0,45,1
0,26,0,3,13,5,12,3,0,0,45,0
1,41,0,3,10,5,4,4,0,0,99,0
1,53,0,3,9,1,12,1,0,0,40,0
1,47,0,6,9,1,1,4,1831,0,38,0
0,23,0,3,10,5,12,3,0,0,25,0
1,56,0,5,10,3,12,5,0,0,60,1
0,60,0,3,8,1,5,1,0,0,40,0
0,36,0,5,6,3,5,0,0,0,60,0
1,24,0,3,10,5,10,3,0,0,40,0
