vTemperature,vHumidity,vLight,vCO2,vHumidityRatio,Class
20.79,24.945,0.0,521.75,0.0037831279133643,0
23.272,25.772,178.0,974.6,0.00455287208154249,0
20.7,24.6,0.0,473.0,0.00370974784825709,0
22.39,24.7225,419.0,772.25,0.00413737694389585,1
21.1,26.6,0.0,651.0,0.0041139379302597605,0
20.7,24.6,0.0,479.333333333333,0.00370974784825709,0
20.6,24.39,0.0,468.2,0.00365516051087822,0
20.5,22.39,0.0,433.5,0.00333308443071495,0
22.937142857142895,30.391428571428598,469.0,1330.28571428571,0.00526729344587457,1
20.29,22.89,0.0,435.333333333333,0.00336377627875311,0
20.89,24.926666666666698,0.0,549.333333333333,0.0038038107539800897,0
20.34,22.6,0.0,439.25,0.00333126363950143,0
20.89,25.0,0.0,542.75,0.00381507006340074,0
20.39,22.463333333333303,0.0,433.0,0.00332130813483038,0
20.79,24.7,422.5,643.25,0.00374574775610345,1
22.6,25.525,433.5,882.5,0.004327853321560621,1
20.5,23.978,412.2,525.2,0.0035708389772613797,1
22.7,25.456,1209.8,958.6,0.00434253200619881,1
20.7,24.79,0.0,483.5,0.0037385725901998897,0
22.772,31.02,444.0,1364.0,0.00532317431933842,1
20.865,22.7675,0.0,475.0,0.00346711546963321,0
20.66,25.1,0.0,497.8,0.00377623227793241,0
20.5,24.1,0.0,464.666666666667,0.00358911223325629,0
23.272,25.772,594.8,889.4,0.00455287208154249,1
23.29,25.7225,173.5,954.25,0.00454904280691813,0
21.7,28.0725,474.0,1076.75,0.00450710619550781,1
20.533333333333303,24.2,0.0,459.333333333333,0.00361155395043591,0
20.39,23.434,397.4,494.2,0.00346562535180023,1
23.39,28.323333333333302,464.0,1086.0,0.005043310383489479,1
22.5,24.9175,433.0,811.5,0.00419839744963948,1
20.52,24.2,0.0,464.0,0.0036085671805396705,0
20.7,24.5,0.0,469.0,0.0036945779980858896,0
20.4175,22.3925,0.0,430.75,0.00331643637851585,0
22.05,28.34,532.25,1192.25,0.004649388734726071,1
23.245,25.7,174.5,951.5,0.00453260648270231,0
20.89,25.525,0.0,571.6,0.00389568831737105,0
22.7,26.1,440.25,919.0,0.0044531783239453206,1
20.6,24.39,0.0,459.75,0.00365516051087822,0
20.89,24.89,443.4,700.0,0.0037981812511967204,1
20.66,24.2,406.2,538.8,0.0036400371297586396,1
20.89,22.89,0.0,481.0,0.00349127081729973,0
20.29,22.7,0.0,427.6,0.00333570528717845,0
22.6,26.7225,668.5,1033.0,0.0045323731576807,1
20.89,25.29,0.0,565.75,0.0038595994836159,0
20.5,22.39,0.0,436.0,0.00333308443071495,0
20.7,22.34,0.0,452.75,0.0033670886765457,0
20.89,23.05,0.0,495.0,0.00351581257343747,0
20.6,22.2,0.0,446.75,0.00332520581189891,0
21.89,28.39,518.0,1178.6,0.0046120715434333605,1
23.39,28.2,454.75,1081.0,0.005021172116350729,1
22.6,26.79,660.0,1030.16666666667,0.00454390539234429,1
20.865,25.2675,0.0,566.0,0.0038501809049505,0
23.2,29.33,464.0,1196.5,0.00516396638590783,1
22.7,31.39,443.5,1390.5,0.00536354036793693,1
21.912,28.37,518.0,1170.6,0.00461503794243694,1
22.1,28.356666666666698,547.0,1211.5,0.00466645191070765,1
22.2,24.79,0.0,761.5,0.00410073726963565,0
21.5,28.1,0.0,844.5,0.004456288721782479,0
20.6,22.2225,0.0,449.0,0.00332859398802281,0
20.39,22.5,0.0,432.25,0.00332675846769344,0
20.5,22.39,0.0,439.666666666667,0.00333308443071495,0
20.865,24.9725,0.0,543.25,0.0038049547683620703,0
20.6333333333333,22.23,0.0,451.666666666667,0.0033366097602703197,0
20.65,22.245,0.0,443.0,0.00334232350934395,0
20.865,25.365,0.0,570.25,0.00386512996367583,0
22.68,25.772,432.0,902.4,0.00439144943150097,1
21.73,28.1333333333333,499.0,1131.0,0.004525295746604071,1
20.89,25.2,0.0,564.25,0.00384577933024355,0
22.5,24.89,419.0,813.5,0.0041937326810038,0
20.7,24.79,0.0,488.0,0.0037385725901998897,0
22.16,27.956,556.4,1173.8,0.0046170039021596705,1
20.6,24.39,419.0,585.0,0.00365516051087822,1
20.856666666666698,25.356666666666698,0.0,566.333333333333,0.0038618591230004102,0
22.6,30.1225,0.0,1205.25,0.00511378443654941,0
22.6,25.08,424.6,845.4,0.0042518862376435,1
21.7,27.893333333333302,484.0,1086.66666666667,0.00447813346367708,1
23.79,26.31,763.0,1158.2,0.0047972213207179,1
20.6,22.2,0.0,451.5,0.00332520581189891,0
20.5,24.1,0.0,464.0,0.00358911223325629,0
