V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Class
-2301,-2374,-5,164,697,275,-822,-3428,-635,-1305,-1781,-1352,-1796,107,1528,324,1163,-1988,-3379,-1464,1
701,157,298,-54,41,1204,-252,1583,1942,1373,1644,1403,218,1105,304,515,-172,158,1407,-868,0
1204,877,838,103,838,1025,94,-525,-1312,417,126,308,-868,1945,1022,404,113,308,853,-52,0
-587,2316,-285,-994,-1052,-1249,1032,-1661,22,132,-736,723,-1967,561,-1336,-2623,-296,274,-3039,1695,1
-52,27,952,1636,571,-384,993,1722,1331,925,-387,-587,2086,533,699,935,409,-106,-1185,108,0
-772,3129,3499,-2851,-1998,313,283,-1076,-1501,1761,-2164,2362,28,-113,-1418,-957,-969,65,4,47,1
-1328,3546,-964,3926,-1347,-946,-1948,274,122,2611,2358,-1927,1123,1135,-3656,-1516,1498,-1777,1395,307,1
-203,1713,616,-45,-166,1867,-389,-55,-945,-767,759,-1942,378,575,719,364,736,774,1027,507,0
1211,1246,3037,-925,641,-518,-824,-529,328,2616,-585,-1289,1795,2095,653,422,-38,48,582,88,0
581,147,-155,-2287,-1751,1124,232,-2663,978,-578,-1353,-683,276,-2076,1044,512,42,-1967,-275,-2011,1
539,-1713,761,24,-13,-148,1635,-2074,-905,972,-25,1045,-543,-694,1399,1386,4,-98,798,414,0
-288,-1714,-1166,-629,888,-2356,2826,2705,986,1013,-1348,1078,-2898,107,1799,-949,4072,-3946,-1395,-263,1
991,74,43,1222,2204,257,67,2176,-422,1188,-496,1744,-147,714,608,1539,-768,-341,78,-318,0
457,1776,2055,4721,-112,2554,2473,-4315,-3913,-3699,1635,-3004,497,5626,-762,3317,-77,1197,-1498,1243,1
-526,1665,-1604,28,-522,-2316,-132,352,-1818,-1947,-1308,-926,-69,1203,1212,-3303,2275,2427,77,2338,1
-783,-1872,167,-66,462,-3866,2353,-1723,-3278,-2825,3044,1854,768,151,2131,-497,-578,3345,-2444,113,1
906,1018,1894,-118,-383,1953,456,154,7,-448,424,2323,2324,2051,803,987,46,-542,1398,-288,0
314,-1235,1718,845,485,226,-75,-416,-3,-784,62,-558,178,969,2644,-1502,-39,1895,-335,-291,0
577,-843,657,137,3211,704,1825,1208,-41,888,1129,536,-662,1263,655,488,-31,606,1247,86,0
-399,-1486,61,-874,9,-1219,2223,1184,1098,-499,-771,2026,1652,-1481,892,2909,-1274,-215,246,456,1
787,736,1911,206,-1336,-586,-22,1887,1144,1756,-516,44,1044,1688,1265,1,-98,522,874,42,0
371,-306,-938,631,-943,131,-483,-357,-458,819,1504,547,1216,23,1478,-813,1288,2189,-715,403,0
-612,832,-1827,1178,-1107,3394,-1413,-1565,168,-1597,2092,-569,142,892,-1372,3291,-45,-1123,-797,2181,1
1713,949,504,602,-133,15,-674,585,1756,95,2044,-52,755,-66,142,54,6,278,201,729,0
1511,-264,785,-313,-674,188,1417,21,1457,647,1272,243,3351,-216,942,347,-56,-222,-219,761,0
-1968,-867,-185,425,1345,-1469,-311,453,1479,128,-234,-3482,-4082,-1316,-667,-1017,1288,17,-147,-4591,1
723,36,-581,97,1166,-477,-65,644,185,716,24,-809,962,1702,819,1403,1204,46,351,348,0
-248,578,721,1,2105,666,1205,3776,1155,-5,-2071,4364,-1759,133,-2172,-3966,-184,1989,2516,-1578,1
55,-2655,-91,-45,-1622,456,-614,-41,968,1387,1966,1996,1958,-1374,249,-1155,-2274,4673,-2665,-256,1
-298,791,1994,-479,-927,2394,38,1283,-2815,3649,-2436,-1654,2224,-3142,5817,3381,4779,-3182,-1604,907,1
-828,-294,-51,-3074,-2471,61,-2209,-354,-1747,134,-2484,-1494,-1402,517,124,1412,-3542,-576,-1804,3134,1
-537,-1022,-1714,-4431,-1624,-372,-5092,-106,858,149,2754,-421,3211,-1433,45,2054,4447,-2877,-9,2605,1
-2285,-2977,133,204,-1593,262,91,358,229,-2963,383,117,366,646,4565,996,-4561,-858,2194,2085,1
105,877,-1832,-2089,3264,2248,-176,-189,-1241,24,1427,2292,-1525,1579,343,-3547,3457,-798,1447,3505,1
3008,2179,-3486,-435,-1934,-26,-4457,3177,1991,98,1155,2055,-1355,-2466,485,-791,-2327,882,-1369,-1319,1
-1031,641,-381,619,778,-281,-226,-685,-119,757,1021,2796,31,927,2382,-21,38,1182,174,181,0
3333,1133,1623,-1915,2069,2144,457,814,9,97,1708,-4284,2354,-2837,3227,-465,-2107,584,-875,2097,1
145,206,-215,-15,3169,-1056,848,-824,-39,1092,-1436,3143,2019,2297,-1398,-185,561,1329,712,177,1
4166,1267,27,2893,-3987,-443,-506,-2365,1432,-1676,1268,-1579,-1929,2162,721,153,-248,-523,-202,4224,1
13,1762,868,-24,733,276,-4358,-27,-3402,668,1626,153,1672,5,1256,199,1507,2552,-1688,1337,1
682,-532,1052,1419,-943,-251,-321,-604,-709,1998,-1745,741,2608,-564,-983,792,1,793,1054,2322,0
-16,-614,2223,2969,-326,2518,7,593,-336,162,-1028,2283,1333,868,2124,-14,24,-1088,427,2336,0
1749,-1037,-1141,3364,75,3849,95,861,2817,2732,-1792,-2999,2058,98,944,3463,-1974,1901,402,42,1
262,955,-173,1093,525,-138,679,-1565,575,159,1039,144,374,1216,1519,-263,-216,-1077,947,1369,0
868,-2454,29,-212,1773,-508,507,-349,62,305,-42,1563,1303,-27,-1792,1475,2517,366,56,-756,0
-137,797,-525,-14,19,2801,-111,-2899,6,2106,344,1833,-69,2178,203,2124,-1353,742,-354,299,1
-351,864,164,654,-1833,-631,-21,1073,674,372,-35,78,29,-1097,1803,-1357,-2028,-68,949,183,0
-1207,-929,-59,-386,2282,61,509,225,2539,1165,862,-868,83,2121,1522,1433,395,-113,896,1623,0
2508,-3071,736,1325,-778,-1314,-695,-191,-3036,3233,-3425,1148,206,191,-1432,2039,-1419,567,955,-592,1
545,2031,412,533,78,647,-104,-261,1632,249,869,691,-943,896,-578,-364,59,638,577,-4,0
2245,-235,541,1003,-241,-71,-748,676,256,1706,-377,1861,62,956,1038,1515,1492,1609,487,-262,0
-4222,-985,1183,-71,-246,2918,-226,2071,-726,408,-564,1423,292,586,2853,-1307,249,1441,1675,3492,1
738,1972,-62,1739,812,1238,528,553,-1599,633,2008,763,305,1082,-313,-48,1961,1922,1113,15,0
-1363,826,2646,-3157,-1088,1817,2102,2316,1432,-332,-2551,449,27,1232,3747,3132,316,-2248,1512,1939,1
1048,-344,-249,-45,165,276,-297,114,-364,-22,623,124,727,-38,1484,492,1802,746,-542,1288,0
2103,-23,165,1112,291,-1308,-115,1292,-127,-31,1652,1515,113,609,-969,-857,966,71,449,-962,0
61,2664,679,-984,105,-304,-64,913,-1528,1233,-3188,-2476,-172,1767,-161,1874,3539,-101,2974,-1136,1
818,-245,348,152,613,603,923,918,1426,-615,-1389,89,524,322,-682,778,-957,198,-1092,869,0
321,1102,673,1676,-2414,1184,-1924,-1248,-188,-283,-848,-743,16,-47,1047,-547,-525,613,112,627,0
-1796,-1166,-432,1378,1849,-545,3639,341,2126,-776,-432,2444,1138,-2417,-1391,815,342,-1354,-635,3173,1
1002,-1056,1238,502,-1147,1199,29,905,148,1444,5,95,-449,1658,888,1175,2142,2408,1303,-1138,0
-36,4,-844,-513,11,-288,-562,-52,355,782,2246,484,-198,1542,1291,-1874,1986,422,-1392,19,0
2847,1772,-28,-2779,-953,1845,2917,2723,-1654,-458,3015,-1005,2385,-419,-3926,-414,-228,1864,435,-436,1
448,16,3744,-1343,-34,384,-2129,2567,61,-638,1925,1098,148,-2748,3136,-1514,-303,-1735,1735,173,1
-121,2083,-1959,-359,212,1788,2247,1119,5221,2913,-2288,-181,-838,183,3909,-2403,-179,102,2072,-1668,1
514,728,-902,-1653,402,-328,-2548,432,27,-1811,269,-43,-2275,-3545,868,-374,321,-197,233,2627,1
-941,717,314,211,-522,1683,1393,1048,1558,705,281,56,989,-61,-468,3,2243,1467,1886,-44,0
-1058,237,3028,1364,-732,3827,-303,112,1614,1355,3952,-211,3563,-1562,-3644,-3233,-1385,-1102,662,-217,1
75,1816,-892,1442,418,1003,1608,211,72,-1856,-666,-1464,252,-191,-205,-182,1766,-267,7,602,0
1178,414,1016,3199,554,281,806,-295,-19,508,89,1373,759,2555,2317,1027,1154,993,-1008,127,0
1867,-1394,1236,-2669,3848,-3277,-1595,546,-654,451,-1525,-478,2323,3621,-17,1516,-137,92,-1412,-2374,1
-1038,-2003,1181,286,-638,1594,1513,644,856,-364,1248,122,54,416,1175,512,377,-942,984,49,0
2455,1904,-5377,1212,-324,277,-116,1022,-197,-1082,-518,866,1021,-254,-8,1464,886,-3083,-1946,-1264,1
1266,-367,806,764,-4332,618,235,1201,265,2596,-1345,-246,451,148,891,-415,-1849,-1539,1039,1124,1
-126,537,-402,1378,-216,612,1325,1306,1013,-993,1462,188,-193,916,2826,-563,295,93,-792,1467,0
493,628,1625,-179,114,1274,827,-202,-802,39,-181,-204,268,282,-158,1323,1038,173,151,236,0
743,-607,1212,739,565,602,-146,-5,959,2489,347,205,977,-88,544,19,-151,172,-189,-1052,0
-262,299,2037,-212,788,2515,1653,-4018,-3856,2623,318,1055,-108,-2834,518,1866,-1414,-26,458,231,1
-1631,275,232,583,-1908,-114,1465,-1763,1697,-142,954,-1943,715,833,554,-371,536,824,1191,196,0
-732,887,-428,64,99,-351,-72,-98,1765,-1107,1069,613,1111,909,7,1074,-36,-898,936,505,0
-185,-1078,146,1226,644,-456,-1047,-6,-927,568,24,-3,-357,-127,1762,-175,27,1935,2277,-97,0
53,-736,-206,69,645,29,121,926,34,2246,135,-1121,235,1184,671,1364,1983,1361,228,1124,0
-264,545,425,799,2035,-329,-164,-9,1633,-711,1323,761,545,148,1566,81,-706,1099,229,588,0
-15,-1372,-1264,-1214,88,-2961,2987,2036,417,-3317,3877,-134,1148,1284,-157,3175,-34,896,904,-598,1
1156,108,97,209,1031,-1118,724,6,1281,-951,1294,-45,-446,464,824,388,1897,-238,1601,2896,0
534,711,211,22,-912,119,1478,224,-151,585,1639,424,753,-1954,311,1276,-742,334,2066,-178,0
-671,1132,23,-257,-276,2621,988,535,282,-156,-774,2665,-879,-517,324,-514,156,-183,1241,136,0
-27,228,78,-933,1949,842,758,2221,587,1236,1641,504,1694,392,1298,-397,-9,-148,95,174,0
-306,379,131,1298,2324,989,-2616,1294,1592,1173,-187,882,1229,-933,-16,-35,201,2366,-1156,-483,0
2865,-488,895,1067,129,583,1084,1709,-122,2522,-1766,-494,857,-952,95,615,-838,559,1034,-508,0
-687,-537,1328,-431,-1881,1627,88,1405,-421,62,804,1101,-91,1111,-158,-509,2627,711,276,54,0
1034,553,-1409,864,1387,769,1517,1395,1322,301,-2029,1087,332,-1197,-242,933,1173,884,397,213,0
-3583,-1252,736,2939,2204,1828,5011,-2712,4256,77,-1705,746,688,425,-2947,1632,-3606,-833,-66,-2655,1
63,-422,-1692,1125,-341,716,-188,1279,478,-921,495,343,-749,-1079,1481,486,-934,4,1664,513,0
225,2585,-941,696,199,-688,581,285,1032,74,571,682,1087,1269,2875,2095,-1008,168,29,-43,0
1511,274,189,303,201,1556,1414,-1113,393,-2449,-209,-851,1859,-253,1102,-566,-222,919,-751,1372,0
3422,-1529,2058,935,1729,1598,731,-475,739,298,-18,283,19,38,19,339,-1617,-32,-1438,-1953,0
-1699,-2053,-106,-1614,-476,-1602,292,1042,-3915,2838,-2185,5061,-2524,-2447,2319,-1416,174,403,-83,33,1
-3268,1791,-924,555,-4726,-3922,-23,-2117,4752,1713,803,-403,-3146,-1977,-1856,88,741,826,636,2899,1
-13,9,1155,212,1805,733,729,-16,-179,-863,2018,1354,1619,-209,2077,-1244,1169,522,1272,-1957,0
137,1489,418,689,-12,1561,939,-463,-678,-284,142,404,851,-453,-97,-384,1014,-455,471,-274,0
997,2754,456,-1027,-1306,-1652,2092,-764,-2024,-703,719,119,-1235,-2246,3316,-114,0,-1622,-218,-398,1
1538,-1492,2775,-2189,-134,-136,628,2236,-2322,855,-1074,1798,633,-189,-168,1092,-884,-1466,1168,264,0
1039,2276,1774,2844,36,531,-1514,-452,-1972,-166,-152,-168,1883,678,274,1281,-1825,-3072,363,74,1
182,3275,2029,-689,1882,514,214,2781,2709,887,3489,-1894,-3851,3186,697,-696,-2579,-1251,-168,822,1
428,1636,1565,3,55,-899,1598,1223,466,-6,5,-556,1231,-482,423,663,1167,-1152,601,2111,0
-284,-981,-3204,1618,-3606,1989,-805,-1261,-3416,1558,1489,2783,-4497,154,-331,1054,2705,-1105,-3443,1996,1
-307,-236,1781,1266,649,-299,1294,-322,846,238,22,1394,241,-32,-233,212,-286,1259,1125,522,0
