vseismic,vseismoacoustic,vshift,vgenergy,vgpuls,vgdenergy,vgdpuls,vghazard,vnbumps,vnbumps2,vnbumps3,vnbumps4,vnbumps5,vnbumps6,vnbumps7,vnbumps89,venergy,vmaxenergy,Class
0,0,0,8790,53,-91,-91,0,1,0,1,0,0,0,0,0,3000,3000,0
0,0,0,6130,111,-28,-59,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,9060,165,-67,-66,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,834760,2307,37,18,0,4,0,2,2,0,0,0,0,54000,30000,0
0,0,0,10300,144,13,-22,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,35800,722,27,11,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,7320,177,-71,-65,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,12150,361,-36,-29,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5840,102,-17,-39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,302440,1250,-16,9,0,2,2,0,0,0,0,0,0,600,300,0
1,0,1,55120,713,85,59,0,2,1,1,0,0,0,0,0,9200,9000,0
0,0,0,18040,317,95,43,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,15160,180,-33,-55,0,1,1,0,0,0,0,0,0,500,500,0
0,1,0,135210,3261,1245,838,1,2,0,1,0,1,0,0,0,208000,200000,0
0,0,1,28570,336,3,-13,0,1,0,1,0,0,0,0,0,2000,2000,0
0,0,0,850,6,-85,-90,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2580,115,-77,-49,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,27440,635,-5,-28,0,1,1,0,0,0,0,0,0,400,400,0
1,0,0,28290,478,126,91,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2720,23,-34,-42,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3170,36,-88,-79,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,325750,1068,50,67,0,1,0,1,0,0,0,0,0,3000,3000,0
0,0,0,17700,174,-81,-81,0,1,0,1,0,0,0,0,0,2000,2000,0
1,1,0,44240,678,327,79,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,27960,804,95,94,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3610,16,-69,-60,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9000,241,31,40,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100190,303,54,52,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,21060,588,-37,-36,1,0,0,0,0,0,0,0,0,0,0,1
1,2,1,57440,538,27,-23,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,34660,516,23,-20,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,28660,471,-3,-6,0,1,1,0,0,0,0,0,0,600,600,0
0,0,0,11730,59,-53,-88,0,1,1,0,0,0,0,0,0,300,300,0
1,1,0,12780,376,23,-1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,210960,773,-44,-35,0,1,0,1,0,0,0,0,0,5000,5000,0
0,0,1,25480,484,-20,-8,0,1,0,1,0,0,0,0,0,7000,7000,0
0,0,0,147520,472,-2,-6,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,31780,538,27,-14,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,47690,518,42,63,0,6,4,2,0,0,0,0,0,7400,3000,0
1,1,1,31160,623,-6,20,0,1,1,0,0,0,0,0,0,400,400,0
1,0,1,39830,636,36,28,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,11630,481,-27,21,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,30130,82,65,57,0,3,3,0,0,0,0,0,0,500,200,0
0,1,1,8260,343,-39,2,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,96070,537,3,19,0,3,1,1,1,0,0,0,0,49200,40000,0
0,0,1,269070,767,-1,4,0,2,2,0,0,0,0,0,0,800,400,0
1,0,1,24400,352,-10,-25,0,1,0,1,0,0,0,0,0,2000,2000,0
0,1,0,24150,364,176,90,0,1,0,1,0,0,0,0,0,5000,5000,0
0,1,1,34750,368,36,-17,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,17500,324,21,22,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,172250,1250,-43,-50,0,2,0,1,1,0,0,0,0,73000,70000,0
0,0,0,6980,37,-10,-81,0,1,1,0,0,0,0,0,0,300,300,0
1,0,1,15130,372,18,51,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,19760,445,114,101,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,60710,782,92,79,0,3,1,2,0,0,0,0,0,4800,2000,0
0,0,1,46740,553,27,29,0,6,3,3,0,0,0,0,0,5800,2000,0
0,0,0,7090,220,-38,-10,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1138340,2106,-20,-20,0,2,0,2,0,0,0,0,0,11000,9000,0
0,0,1,17660,140,-60,-52,0,1,1,0,0,0,0,0,0,900,900,0
1,1,1,22820,833,25,65,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,40900,776,43,57,0,1,1,0,0,0,0,0,0,400,400,0
1,0,1,32310,194,-56,-49,0,4,1,2,1,0,0,0,0,28400,20000,0
0,0,1,16290,463,-4,-17,0,1,0,0,1,0,0,0,0,20000,20000,0
0,1,0,23000,157,-28,-17,0,1,0,1,0,0,0,0,0,2000,2000,0
0,0,0,12960,194,27,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,26800,657,54,13,0,0,0,0,0,0,0,0,0,0,0,0
