height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
8,14,112,1.75,0.446,0.973,2.27,50,109,22,1
8,6,48,0.75,0.313,0.813,1.88,15,39,8,1
9,1,9,0.111,1.0,1.0,9.0,9,9,1,1
187,141,26367,0.754,0.415,0.884,4.69,10947,23301,2333,3
13,67,871,5.154,0.441,0.83,5.19,384,723,74,1
9,21,189,2.333,0.519,0.942,3.27,98,178,30,1
8,70,560,8.75,0.388,0.841,2.21,217,471,98,1
16,427,6832,26.688,0.4,0.632,5.56,2736,4316,492,1
11,81,891,7.364,0.339,0.695,2.77,302,619,109,1
7,16,112,2.286,0.313,0.973,1.75,35,109,20,1
9,47,423,5.222,0.362,0.905,2.01,153,383,76,1
2,32,64,16.0,0.516,0.531,33.0,33,34,1,2
7,34,238,4.857,0.223,0.916,1.33,53,218,40,1
11,245,2695,22.273,0.252,0.829,1.86,678,2235,365,1
7,14,98,2.0,0.357,0.867,1.75,35,85,20,1
14,265,3710,18.929,0.354,0.565,4.47,1315,2097,294,1
10,10,100,1.0,0.56,0.69,28.0,56,69,2,1
27,320,8640,11.852,0.321,0.561,4.53,2774,4845,613,1
1,11,11,11.0,0.909,1.0,10.0,10,11,1,2
9,111,999,12.333,0.209,0.571,1.57,209,570,133,1
9,250,2250,27.778,0.347,0.737,2.44,781,1659,320,1
1,16,16,16.0,0.938,1.0,15.0,15,16,1,2
7,1,7,0.143,1.0,1.0,7.0,7,7,1,4
5,3,15,0.6,0.6,0.6,9.0,9,9,1,1
1,19,19,19.0,0.579,1.0,3.67,11,19,3,2
11,76,836,6.909,0.254,0.688,2.08,212,575,102,1
10,261,2610,26.1,0.264,0.679,1.77,689,1771,390,1
8,256,2048,32.0,0.124,0.563,1.26,253,1153,200,1
6,48,288,8.0,0.316,0.965,1.57,91,278,58,1
11,185,2035,16.818,0.487,0.883,4.5,991,1796,220,1
8,15,120,1.875,0.267,0.908,1.23,32,109,26,1
11,90,990,8.182,0.47,0.718,4.6,465,711,101,1
8,44,352,5.5,0.415,0.949,2.06,146,334,71,1
1,8,8,8.0,1.0,1.0,8.0,8,8,1,2
11,8,88,0.727,0.443,0.466,39.0,39,41,1,1
8,46,368,5.75,0.318,0.818,2.09,117,301,56,1
6,27,162,4.5,0.475,0.809,2.33,77,131,33,1
9,268,2412,29.778,0.465,0.694,6.3,1122,1675,178,1
