input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class
30,100,0,78,56,82,44,78,75,51,100,22,72,0,15,7,9
21,90,68,100,69,67,56,47,100,37,80,3,31,0,0,28,3
26,94,67,100,100,89,66,68,92,39,84,14,41,7,0,0,3
0,74,29,100,37,94,30,62,23,30,12,0,47,10,100,12,1
85,98,17,99,21,61,66,23,15,0,0,35,61,68,100,100,8
12,88,53,100,100,94,68,69,80,39,95,10,51,0,0,6,3
0,94,59,100,86,75,72,37,61,0,37,10,28,33,100,35,7
45,100,12,82,0,41,17,4,62,0,100,21,96,60,54,66,0
0,73,48,91,62,100,56,46,71,12,100,16,42,6,15,0,1
66,100,28,84,8,50,14,14,61,0,100,21,51,36,0,28,6
56,87,91,100,81,72,61,58,100,41,87,12,38,0,0,12,3
15,66,14,100,50,89,37,51,7,18,0,12,50,8,100,0,2
0,48,26,69,64,89,100,100,80,76,61,51,48,25,56,0,1
0,99,27,100,49,83,51,55,43,29,44,3,72,0,100,2,2
0,55,20,68,65,88,100,100,76,75,51,50,28,25,11,0,1
21,76,39,100,45,67,27,29,0,0,25,2,63,1,100,2,2
96,70,76,100,46,73,98,69,100,64,98,24,52,0,0,2,9
12,100,7,80,0,60,3,39,36,23,86,34,88,20,100,0,4
0,63,36,100,81,93,66,44,30,5,0,0,47,19,100,10,2
0,53,35,76,78,98,100,100,84,75,68,50,54,25,54,0,1
44,100,2,69,0,38,71,39,100,50,60,74,56,37,58,0,4
3,96,53,100,81,68,83,28,72,0,100,34,51,41,0,43,7
55,83,100,100,88,92,40,78,24,43,68,31,48,5,0,0,5
15,83,6,48,65,46,45,0,8,20,0,74,43,94,100,100,5
2,74,5,95,70,100,100,89,66,67,31,45,0,22,2,0,7
84,90,0,91,51,56,98,19,36,0,43,40,100,75,62,100,8
100,100,55,99,20,93,23,53,67,54,80,20,43,0,0,3,5
100,100,60,89,26,65,3,36,0,4,43,0,51,26,12,31,6
99,100,61,78,37,40,41,0,99,0,100,33,47,50,0,28,6
14,100,66,86,66,57,50,28,31,0,0,9,25,29,100,30,7
48,95,94,100,100,73,75,47,41,25,0,5,41,1,94,0,2
12,91,48,100,66,77,77,63,100,42,75,15,34,0,0,15,3
80,71,59,100,18,73,44,34,50,0,0,20,46,50,100,74,8
0,99,71,100,100,77,72,48,53,18,40,0,0,27,66,33,7
24,100,25,58,64,36,45,0,13,23,0,65,44,90,100,100,5
35,100,5,72,0,40,44,18,87,30,100,58,70,30,53,0,4
100,100,21,86,64,41,71,0,13,23,73,66,74,100,0,70,8
70,97,16,84,0,49,12,14,62,0,95,29,100,65,92,100,0
100,100,61,85,25,58,0,28,23,0,77,9,85,39,30,50,6
67,86,59,66,95,26,44,0,0,30,59,63,100,98,19,100,8
18,100,22,79,0,47,28,35,94,35,98,64,100,34,91,0,4
47,100,31,76,0,45,63,50,100,64,92,61,94,28,96,0,4
100,86,12,100,0,64,67,29,39,0,35,38,94,74,92,98,8
0,82,75,56,100,12,22,0,22,41,92,73,84,100,2,80,8
100,100,63,99,28,85,27,49,67,40,88,16,46,0,0,1,5
0,37,29,60,68,82,100,100,77,75,57,51,45,25,45,0,1
50,100,20,75,2,46,0,17,43,0,100,10,73,32,16,24,6
38,100,73,98,71,69,78,46,100,20,77,0,38,0,0,6,3
100,100,39,84,0,63,37,46,90,62,68,45,46,23,41,0,4
22,80,0,35,32,0,87,22,100,69,61,100,18,65,9,19,0
44,79,69,100,99,88,69,62,100,41,97,12,47,0,0,15,3
